Inversor,Tipo,Web,Email,LinkedIn,Ticket/Fases,Sectores interés,Geografía,HQ Country,Descripción,Origen BBDD,Owner sugerido,Próxima acción,Notas
101 Ventures,VC,https://www.101ventures.io/,info@101ventures.io,https://www.linkedin.com/company/101-ventures,Pre-seed/Seed,Tech / Marketplaces / Digital,Barcelona (Pier01),España,"Venture builder barcelonés fundado en 2013 (también opera como 101 Startups). Hoy parte del paraguas Farside Ventures. Cofundadores: Marc Borrell, Jordi Priu, Guillermo Briones, Rita Almela. Foco en startups digitales en fase muy temprana.",VBuilders España,,Email + LinkedIn,Verified — top tier
5G Ventures,VC,https://www.5gventures.eu/,info@5gventures.eu,https://www.linkedin.com/company/5g-ventures,Pre-seed/Seed,5G / IoT / Telco,Barcelona,España,"Primer venture builder especializado en 5G en España. Vertical de Farside Ventures. Construye startups que aprovechan el potencial del 5G.",VBuilders España,,Email + LinkedIn,Verified — Farside subsidiary
Actio Ventures,VC,https://www.actio.ventures/,info@actio.ventures,https://es.linkedin.com/company/actioventures,Pre-seed/Seed/Early,Generalista (todos los sectores),Barcelona,España,"Venture capital de ActioGlobal fundado en 2021. Pre-seed/seed/early con conocimiento + capital. Portfolio: Nootric, Campo Grande, Gembawall.",VBuilders España,,Email + LinkedIn,Verified
Addi Ventures,VC,https://www.addiventures.com/,info@addiventures.com,https://www.linkedin.com/company/addi-ventures,100K-1M€,SME / Innovación pyme,Toledo / Castilla-La Mancha,España,"Primer SME Venture Builder de España (2021). Co-funda startups con pymes establecidas. Ticket inicial 100K€ + financiación adicional hasta 1M€.",VBuilders España,,Email + LinkedIn,Verified — SME specialist
Ai Power,VC,,,,Seed,IA / Energy,España,España,Pendiente investigar — sin información pública verificable.,VBuilders España,,WebSearch / LinkedIn manual,No encontrado en search
7r Ventures,VC,https://7r.ventures/,info@7r.ventures,https://www.linkedin.com/company/7r-ventures,Corporate venture,Tech corporate / Industrias tradicionales,Madrid (Castellana 77),España,"Corporate Venture Builder fundado en 2017. Co-crea startups con corporaciones top-tier en sectores tradicionales. Partner con Capital Energy en EnergyTech.",VBuilders España,,Email + LinkedIn,Verified — top corporate VB
Aliquam,VC,,,,Seed,Generalista,España,España,Listado en mapas de VBs España pero sin web pública identificada — posible entidad muy pequeña o renombrada.,VBuilders España,,LinkedIn manual,No encontrado
Anima Ventures,VC,https://www.animaventures.xyz/,info@animaventures.xyz,https://www.linkedin.com/company/anima-ventures,Seed,Impacto social / Fintech / Real estate,Madrid,España,"Primer Company Builder Social de España (2015). Diseña soluciones económicas a problemas sociales. Portfolio: MICROWD, techô, TuuuLibrería.",VBuilders España,,Email + LinkedIn,Verified — impact specialist
Antai Venture Builder,VC,https://www.antaivb.com/,info@antaivb.com,https://www.linkedin.com/company/antai,Pre-seed/Seed/Series A,Marketplaces / On-demand / DNVB / SaaS / E-commerce,Barcelona,España,"Venture builder internacional fundado por Gerard Olivé y Miguel Vicente (cofundador de Wallapop, Glovo y Letgo). Construye y escala marketplaces y negocios digitales.",VBuilders España,,Email + LinkedIn,Top tier — alta prioridad
BHV Partners,VC,https://bhvpartners.com/,info@bhvpartners.com,https://www.linkedin.com/company/bhvpartners,Seed/Series A,Health / Biotech / Diagnostic / Medtech,Barcelona Science Park (+ SF + S.Sebastián),España,"Primer venture builder especializado en salud del Sur de Europa (2019). Fundadores: Marta Príncep, Albert G. Zamora, Joan Bigorra, Joaquim Trias. Portfolio €20M.",VBuilders España,,Email + LinkedIn,Verified — health specialist top
