id;rawId;name;city;categoryName;subcategoryName;deleted;STATE;ID_RECOMMENDED_BUSINESS_STATE;tab_url;main_url;gallery_urls
757;la_croquetta;  La Croquetta;Madrid;Restaurantes;Tradicionales, Español;0;4;4;18092;18093;18094
426;_11th_principe_by_splendom;11th Príncipe by Splendom;Madrid;Alojamiento;Apartamentos, Wifi;1;4;4;16537;16538;16540,16541,16542,16543,16544
4831;_apartamentos_casa_alta; Apartamentos Casa Alta;Ronda;Alojamiento;Apartamentos;1;3;3;44061;44059;44058,44060
4833;_casa_la_marabulla; Casa La Marabulla;Ronda;Alojamiento;Camping y Casa rural;0;3;3;44112;44113;44111
5608;_el_higueron; El Higuerón;Málaga;Restaurantes;Tradicionales, Español, Restaurantes;0;4;4;49054;49055;49053,49056,49057
1745;_segway_tour_sightseeing_3_horas);Segway Tour Sightseeing (3 HORAS);Madrid;Ocio y eventos;Experiencias y actividades, Naturaleza, Cultura, Ocio;0;4;3;18756;18751;18750,18752,18753,18754,18755
676;_trekking; Trekking;Madrid;Ocio y eventos;Experiencias y actividades;0;4;4;15764;15765;15766,15768,15769
5475;#ingoya;#InGoya;Madrid;Ocio y eventos;Exposiciones;0;3;3;;;
17662;ia_3491;& Other Stories;Madrid;Compras;Ropa y accesorios, Colecciones de moda, accesorios, fragancias;0;3;3;;;
18655;1_hora_madrid_bienvenida_y_tour_historico_-_madrid;1 Hora Madrid Bienvenida y Tour Histórico - Madrid;Madrid;Experiencias Unicas;Tour guiado (general);0;1;1;;;
18659;ia_4881;10 - Visita guiada de un día Marruecos y Andalucía desde Madrid - Madrid;Madrid;Experiencias Unicas;Excursión de día (Day trip);0;1;1;;;
3865;101_kms_la_legion;101 kms La Legión;Ronda;Ocio y eventos;Eventos;0;4;4;31939;31940;25584
18660;ia_4883;11 días Castilla, Galicia, Portugal, Andalucía y Toledo desde Madrid - Madrid;Madrid;Experiencias Unicas;Tour de 11 días;0;1;1;;;
14530;ia_110;11 Nudos Terraza Nordes;Madrid;Restaurantes;Mediterránea, Española, Cócteles, Tapas Modernas, Cocina Mediterránea;0;3;3;74587;74583;74584,74585,74586
18661;ia_4884;14 días Galicia Portugal y Andalucía desde Madrid - Madrid;Madrid;Experiencias Unicas;Experiencia gastronómica (general);0;1;1;;;
4280;1862_dry_bar;1862 Dry Bar;Madrid;Fiesta;Bares de copas;0;4;4;36536;36535;36534,36537,36538,36539,36540,36541,36542,36543
18662;ia_4885;2 días Cáceres y Sevilla desde Madrid - Madrid;Madrid;Experiencias Unicas;Cata/Maridaje de vino / Bodega;0;1;1;;;
17688;ia_3517;2 en 1 Madrid Art Tour Museos del Prado y Reina Sofía;Madrid;Arte y Cultura;Museo de arte moderno / contemporáneo, Las Meninas, El Bosco, Guernica;0;3;3;;;
14959;ia_543;2 Tierras Madrid;Madrid;Restaurantes;Mediterranea, Comida Fusión;0;3;3;;;
17689;ia_3518;2-Horas Paseo a Pie sobre la Historia del Madrid Medieval islámico: los orígenes;Madrid;Arte y Cultura;Barrio de Austrias (ruta a pie), Plaza Mayor, Palacio Real;0;3;3;;;
1023;2060_the_newton_hostel;2060 The Newton Hostel;Madrid;Alojamiento;Low cost;0;4;4;14262;14263;
17244;ia_3064;222 Tattoo Madrid;Madrid;Compras;"Tatuajes y piercings, Estudio internacional; Tatuajes artísticos; Atención cercana";0;3;3;;;
17215;ia_3035;27 Barber Shop;Madrid;Compras;"Peluquerías y barberías, Barbería moderna; Estilo urbano; Atención personalizada";0;3;3;;;
3510;27_charcos_de_damajagua;27 Charcos de Damajagua;Santo Domingo;Ocio y eventos;Experiencias y actividades;0;4;4;22684;22685;22686,22687,22688,22689,22690,22691,22692,22693
18663;ia_4887;3 horas en bicicleta desde el centro de la ciudad hasta el Santiago Bernabéu y su museo - Madrid;Madrid;Experiencias Unicas;Tour/experiencia (general);0;1;1;;;
17049;ia_2869;3-Events Diseño y Comunicación SL;Madrid;Eventos;Agencia de comunicación y eventos;0;3;3;;;
18664;ia_4888;30 Minutos de Aventura en Moto de Agua en la Costa de Murcia - Madrid;Madrid;Experiencias Unicas;Actividad de aventura;0;1;1;;;
3140;3345_sound_restaurant_malaga;3345 Sound Restaurant Málaga;Málaga;Restaurantes;Top;0;1;3;20664;20663;20665,20666,20667,20668,20669,20670,20671,20672
